                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1269,                 3.9372,                 1.4023,                 0.0418,                0.42547,                0.16873,                0.13032,                0.92964,                 3.7447,                 1.1114,             0.00015562,             0.00015562,             0.00015562
                      2,                 1.0684,                 2.4882,                 1.3308,                0.84124,                0.26797,                0.33307,                0.22993,                   1.06,                 2.7353,                 1.2726,             0.00030806,             0.00030806,             0.00030806
                      3,                 1.0566,                 2.1012,                 1.2824,                0.70122,                0.31549,                0.32059,                0.22595,                 1.0862,                 2.0311,                  1.291,             0.00045422,             0.00045422,             0.00045422
                      4,                 1.0631,                 1.8391,                 1.2806,                0.80478,                0.37423,                0.41351,                0.29539,                 1.0895,                 1.4694,                 1.2763,             0.00044773,             0.00044773,             0.00044773
                      5,                 1.0275,                 1.6156,                 1.2608,                0.63389,                 0.3676,                0.39515,                0.26801,                 1.1051,                  1.437,                  1.281,             0.00044773,             0.00044773,             0.00044773
                      6,                0.99304,                 1.3912,                  1.235,                0.63885,                0.39783,                0.41096,                0.29281,                0.98066,                 1.2099,                 1.1668,              0.0004383,              0.0004383,              0.0004383
                      7,                0.96141,                 1.2882,                 1.2216,                0.66495,                0.40373,                0.42866,                0.30244,                0.98818,                  1.152,                 1.1632,             0.00042888,             0.00042888,             0.00042888
                      8,                0.93553,                 1.1979,                 1.2015,                0.73153,                0.36618,                0.42545,                0.30843,                0.93934,                 1.0893,                 1.1482,             0.00041945,             0.00041945,             0.00041945
                      9,                 0.9177,                 1.1079,                 1.1902,                0.65483,                0.39438,                0.42317,                0.30735,                0.94865,                 1.2292,                 1.1759,             0.00041003,             0.00041003,             0.00041003
                     10,                0.93599,                 1.0881,                 1.1978,                0.69868,                0.43424,                0.46853,                0.33667,                0.94564,                 1.0916,                  1.158,              0.0004006,              0.0004006,              0.0004006
                     11,                0.89141,                  1.048,                 1.1684,                0.77147,                0.45837,                0.47779,                0.33662,                0.87925,                0.94552,                  1.109,             0.00039118,             0.00039118,             0.00039118
                     12,                0.90011,                0.99126,                  1.163,                0.67304,                0.46637,                0.49946,                 0.3651,                0.84068,                0.88351,                 1.0702,             0.00038175,             0.00038175,             0.00038175
                     13,                0.88389,                0.98674,                 1.1623,                0.68531,                0.45822,                 0.4735,                0.32904,                0.89912,                0.94069,                 1.1046,             0.00037233,             0.00037233,             0.00037233
                     14,                0.87474,                0.95161,                 1.1567,                0.52583,                0.52268,                0.50867,                  0.385,                0.81489,                0.80642,                 1.0514,              0.0003629,              0.0003629,              0.0003629
                     15,                0.85679,                0.92375,                 1.1498,                0.69172,                0.45521,                0.48683,                0.35117,                0.85861,                0.85362,                 1.0612,             0.00035348,             0.00035348,             0.00035348
                     16,                0.83899,                0.89062,                 1.1349,                0.73944,                0.49325,                0.52769,                0.37696,                0.83983,                0.86071,                  1.067,             0.00034405,             0.00034405,             0.00034405
                     17,                0.81681,                0.83936,                 1.1219,                0.77878,                0.52175,                 0.5794,                0.42628,                0.81597,                0.78061,                 1.0603,             0.00033463,             0.00033463,             0.00033463
                     18,                0.81171,                0.82753,                 1.1203,                0.66984,                0.55955,                0.56169,                 0.4122,                0.81664,                0.74231,                 1.0621,              0.0003252,              0.0003252,              0.0003252
                     19,                 0.8161,                  0.817,                  1.117,                0.48891,                0.51948,                 0.5355,                0.39041,                0.82011,                0.79379,                  1.045,             0.00031578,             0.00031578,             0.00031578
                     20,                0.79457,                0.78706,                 1.1136,                0.71144,                0.46617,                 0.5324,                0.37435,                0.79828,                0.78456,                 1.0504,             0.00030635,             0.00030635,             0.00030635
                     21,                 0.7937,                0.79628,                 1.1157,                0.58568,                0.51642,                0.56254,                 0.4123,                0.79455,                0.75373,                 1.0358,             0.00029693,             0.00029693,             0.00029693
                     22,                0.79108,                0.76665,                 1.1094,                0.75202,                0.55064,                0.57866,                0.42897,                0.78515,                0.73764,                 1.0285,              0.0002875,              0.0002875,              0.0002875
                     23,                0.77643,                0.74588,                 1.0977,                   0.78,                0.52656,                0.57627,                 0.4116,                0.78925,                0.75419,                 1.0348,             0.00027808,             0.00027808,             0.00027808
                     24,                0.77956,                0.74329,                 1.1004,                0.68523,                0.53239,                0.58444,                0.41862,                0.79712,                0.71283,                 1.0335,             0.00026865,             0.00026865,             0.00026865
                     25,                 0.7667,                0.73484,                 1.0875,                0.61696,                 0.5636,                 0.6294,                0.46775,                0.76055,                0.70071,                 1.0129,             0.00025923,             0.00025923,             0.00025923
                     26,                0.76206,                0.70701,                 1.0879,                0.67976,                0.52944,                0.57815,                0.44132,                0.76133,                0.67322,                 1.0075,              0.0002498,              0.0002498,              0.0002498
                     27,                0.76666,                0.71829,                 1.0898,                0.61641,                  0.593,                 0.5712,                0.43645,                0.72663,                 0.6461,                0.99919,             0.00024038,             0.00024038,             0.00024038
                     28,                0.74839,                0.69332,                 1.0843,                0.71774,                0.51271,                0.59481,                0.43846,                0.76242,                0.65929,                 1.0215,             0.00023096,             0.00023096,             0.00023096
                     29,                0.75157,                0.68706,                 1.0872,                0.68897,                 0.5944,                0.61407,                0.45848,                0.73324,                0.64829,                 1.0002,             0.00022153,             0.00022153,             0.00022153
                     30,                0.73426,                0.66878,                 1.0731,                0.66859,                0.58567,                0.62873,                0.48587,                0.72762,                0.63407,                0.99844,             0.00021211,             0.00021211,             0.00021211
                     31,                0.74152,                0.66829,                 1.0756,                0.69966,                0.59336,                0.60058,                0.45362,                0.74951,                0.65791,                 1.0101,             0.00020268,             0.00020268,             0.00020268
                     32,                0.71517,                 0.6512,                 1.0638,                0.65003,                0.57997,                0.61478,                0.44956,                0.74062,                0.62811,                 0.9935,             0.00019326,             0.00019326,             0.00019326
                     33,                0.70239,                0.63018,                 1.0581,                 0.7174,                0.59104,                0.63611,                0.47594,                0.70363,                0.57862,                0.97908,             0.00018383,             0.00018383,             0.00018383
                     34,                0.70857,                0.62694,                 1.0576,                0.68101,                 0.5589,                0.64232,                0.47413,                0.71646,                 0.5987,                0.98677,             0.00017441,             0.00017441,             0.00017441
                     35,                0.71657,                0.64071,                 1.0592,                0.67178,                0.60163,                0.63534,                0.47546,                0.71547,                0.60299,                0.98385,             0.00016498,             0.00016498,             0.00016498
                     36,                0.69475,                  0.623,                 1.0527,                0.68714,                0.65607,                0.65612,                0.49471,                0.71314,                0.58238,                0.98039,             0.00015556,             0.00015556,             0.00015556
                     37,                0.68581,                 0.6054,                 1.0471,                0.70894,                0.60829,                0.63194,                0.47736,                0.71584,                0.60262,                0.98504,             0.00014613,             0.00014613,             0.00014613
                     38,                 0.6911,                0.60521,                 1.0509,                0.73142,                0.67374,                0.67579,                0.50457,                0.70746,                0.55917,                0.97741,             0.00013671,             0.00013671,             0.00013671
                     39,                0.68101,                0.59104,                 1.0483,                0.68464,                0.65377,                0.65998,                0.50496,                0.70127,                0.55468,                0.98008,             0.00012728,             0.00012728,             0.00012728
                     40,                0.67885,                0.58612,                 1.0523,                0.70326,                0.66363,                0.66072,                0.50661,                0.71258,                0.56697,                0.98286,             0.00011786,             0.00011786,             0.00011786
                     41,                0.59791,                0.48724,                0.98646,                0.76354,                0.63348,                0.68275,                0.52704,                0.68994,                0.55676,                0.97006,             0.00010843,             0.00010843,             0.00010843
                     42,                0.58609,                0.45845,                0.97784,                0.71489,                0.68748,                0.72581,                0.56526,                 0.6899,                0.56519,                0.98126,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     43,                0.56452,                  0.438,                0.96888,                0.73444,                0.63261,                0.68213,                0.52789,                0.68898,                0.54589,                0.97468,             8.9583e-05,             8.9583e-05,             8.9583e-05
                     44,                0.56892,                0.43121,                0.96331,                0.66618,                0.75335,                0.72942,                0.55198,                0.68341,                0.53347,                0.97673,             8.0158e-05,             8.0158e-05,             8.0158e-05
                     45,                 0.5502,                 0.4169,                 0.9527,                0.75377,                0.62213,                0.71493,                0.54572,                0.67453,                0.53853,                0.96868,             7.0734e-05,             7.0734e-05,             7.0734e-05
                     46,                0.54139,                 0.4091,                0.95612,                0.77939,                0.61046,                0.68639,                0.52829,                0.67411,                0.52942,                 0.9671,             6.1309e-05,             6.1309e-05,             6.1309e-05
                     47,                0.54433,                0.40391,                0.95063,                0.72672,                0.64894,                 0.7035,                0.54091,                0.66399,                0.53254,                0.96113,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     48,                0.52802,                0.38496,                0.94591,                 0.7482,                0.65054,                0.66709,                0.51402,                 0.6711,                0.52516,                0.96363,             4.2459e-05,             4.2459e-05,             4.2459e-05
                     49,                0.52283,                0.37904,                0.94741,                0.74814,                0.65225,                0.68314,                0.52616,                0.66785,                0.51887,                 0.9631,             3.3034e-05,             3.3034e-05,             3.3034e-05
                     50,                0.51895,                0.37753,                0.94048,                0.76203,                 0.6348,                 0.7058,                0.53942,                0.66734,                0.51985,                0.96255,              2.361e-05,              2.361e-05,              2.361e-05
